Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Belgian Abbey;322;515;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Stout;323;515;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Pale Ale;324;515;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Best Bitter;325;515;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Hefe Weizen;326;515;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Pilsner;327;515;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
K̦lsch;328;515;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Faultline Brewing #1;1235 Oakmead Parkway;Sunnyvale;California;United States;37.387, -121.993;
Harvest Ale 2005 (Whisky);329;727;-1;-1;11.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412, -2.1734;
Harvest Ale 2005 (Calvados);330;727;-1;-1;11.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412, -2.1734;
Harvest Ale 2005 (Sherry);331;727;-1;-1;11.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412, -2.1734;
Old Crustacean Barleywine 2006;332;1072;-1;-1;11.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Rogue Ales;2320 SE OSU Drive;Newport;Oregon;United States;44.6202, -124.052;http://www.rogue.com
Avalanche Amber;333;236;3;33;5.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
Hefe Proper Ale;334;236;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
Levity Amber Ale;335;935;3;33;5.099999905;0;0;0;;Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our brewers partly for its light color - and partly for the way it just refuses to take itself too seriously. Hey, we could all use a little levity once in a while.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Easy Street Wheat;336;935;11;116;4.599999905;0;0;0;;"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers ""taking it easy"" and not filtering the beer. However, for ultimate enjoyment, we encourage you to work just a little harder in pouring it: just pour 2/3 of the beer into a glass, swirl what's left to stir up the yeast, then pour the rest and enjoy.";0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Boulevard Pale Ale;337;161;3;26;5.400000095;0;0;0;;Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to be a perennial favorite.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Boulevard Brewing Company;2501 Southwest Boulevard;Kansas City;Missouri;United States;39.0821, -94.5965;http://www.blvdbeer.com/
Bully! Porter;338;161;2;25;5.400000095;0;0;0;;The intense flavors of dark-roasted malt in Boulevard�۪s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porter�۪s robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate.;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Boulevard Brewing Company;2501 Southwest Boulevard;Kansas City;Missouri;United States;39.0821, -94.5965;http://www.blvdbeer.com/
Bovine Belgian Winter Ale;339;795;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
XX Black Angus Stout;340;795;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
Blarney Stone Stout;341;795;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
Bison Brown Ale;342;795;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
Prairie Pale;343;795;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
Wildcat Wheat;344;795;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Little Apple Brewing;1110 Westloop Center;Manhattan;Kansas;United States;39.1836, -96.5717;
Boulevard Dry Stout;345;161;3;42;4.900000095;0;0;0;;Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee-like notes.;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Boulevard Brewing Company;2501 Southwest Boulevard;Kansas City;Missouri;United States;39.0821, -94.5965;http://www.blvdbeer.com/
Planet Porter / Boulder Porter;346;160;2;25;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Amber;347;195;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie La Caracole;Cte Marie-Thrse 86;Falmignoul;Namur;Belgium;50.2024, 4.8914;
Blanche des Moines;348;187;-1;-1;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie du Bocq;Rue de la Brasserie 4;Purnode;Namur;Belgium;50.3114, 4.9435;
Triple Moine;349;187;-1;-1;7.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie du Bocq;Rue de la Brasserie 4;Purnode;Namur;Belgium;50.3114, 4.9435;
Arabier;350;272;5;65;9;0;0;0;;An arabier is a pure malt beer 8�vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10�C. Cheers!;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Strong Ale;Belgian and French Ale;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281, 2.9038;http://www.dedollebrouwers.be/
Bos Keun;351;272;5;65;8.899999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Strong Ale;Belgian and French Ale;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281, 2.9038;http://www.dedollebrouwers.be/
Grand Cru;352;175;-1;-1;10.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de l'Abbaye Val-Dieu;Val Dieu 225;Aubel;Lige;Belgium;50.7046, 5.822;
Oerbier;353;272;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281, 2.9038;http://www.dedollebrouwers.be/
Dulle Teve / Mad Bitch;354;272;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281, 2.9038;http://www.dedollebrouwers.be/
Vuuve;355;278;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Regenboog;Astridlaan 134;Assebroek;West-Vlaanderen;Belgium;51.1968, 3.2527;
Gouden Carolus Tripel;356;284;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Het Anker;Guido Gezellelaan 49;Mechelen;Antwerpen;Belgium;51.0325, 4.473;http://www.hetanker.be/
Gouden Carolus Ambrio 1471;357;284;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Het Anker;Guido Gezellelaan 49;Mechelen;Antwerpen;Belgium;51.0325, 4.473;http://www.hetanker.be/
Pauwel Kwak;358;269;-1;-1;8;0;0;0;;LOOK:  Kwak is recognisable by its deep bright amber colour and a dense, creamy coloured head. The pale wood of the glass holder makes a pleasant contrast with the beer.   SMELL:  You will smell a mellow, fruity and malty aroma with a slightly spicy character (coriander, hops). Additional earthy and very subtle aromas of banana and perhaps also a whiff of pineapple or mango in the background.   TASTE:  Discover a very mellow, fruity attack, a nougat-like solidity, and a slightly spicy character with hints of liquorice passing into a warm finish that reminds you of caramelised banana. The bitterness always remains in the background but in the end emerges delicately.;0;2010-07-22 22:00:00+02:00;;;Brouwerij Bosteels;Kerkstraat 92;Buggenhout;Oost-Vlaanderen;Belgium;51.0138, 4.2018;
Delirium No��l;359;285;5;72;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Brouwerij Huyghe;Brusselse Steenweg 282;Melle;Oost-Vlaanderen;Belgium;;
Rochefort 10;360;7;5;62;11.30000019;0;0;0;;Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the high alcohol content to be disagreeable.;0;2010-07-22 22:00:00+02:00;Belgian-Style Quadrupel;Belgian and French Ale;Abbaye Notre Dame du St Remy;Rue de l'Abbaye 8;Rochefort;Namur;Belgium;50.1999, 5.2277;
McChouffe;361;167;3;29;8.5;0;0;0;;Description : Dark Ale, strong, spicy, lightly hoppy, with evoluting taste. Natural Beer, bottle refermented, unfiltered, not pasteurised and without any additives   Alcohol : 8,5% alc./vol.   Original gravity : 16 �Plato   Storage : Store the bottles vertically in a cold place, sheltered from light. The yeast deposit can either be drunk or left according to taste   Serve at : 8 to 12�C (botlle);0;2010-07-22 22:00:00+02:00;Dark American-Belgo-Style Ale;North American Ale;Brasserie D'Achouffe;Rue du Village 32;Houffalize-Achouffe;Luxembourg;Belgium;50.1507, 5.7442;
471 Double IPA;362;236;3;31;9.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
La Chouffe Golden Ale;363;167;5;65;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Strong Ale;Belgian and French Ale;Brasserie D'Achouffe;Rue du Village 32;Houffalize-Achouffe;Luxembourg;Belgium;50.1507, 5.7442;
Saison Voisin;364;184;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie des Gants;rue du Castel, 19;Irchonwelz;Hainaut;Belgium;50.6204, 3.7592;
Olde Expensive Ale;365;322;1;13;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Burton Bridge Brewery;Bridge Street;Burton-upon-Trent;Staffordshire;United Kingdom;52.8065, -1.6225;http://www.burtonbridgebrewery.co.uk/Index.shtml
Quadrupel;366;110;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bierbrouwerij De Koningshoeven;Eindhovenseweg 3;Berkel-Enschot;;Netherlands;51.544, 5.1285;http://www.latrappe.nl/
Tripel;367;110;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bierbrouwerij De Koningshoeven;Eindhovenseweg 3;Berkel-Enschot;;Netherlands;51.544, 5.1285;http://www.latrappe.nl/
Dubbel;368;110;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bierbrouwerij De Koningshoeven;Eindhovenseweg 3;Berkel-Enschot;;Netherlands;51.544, 5.1285;http://www.latrappe.nl/
Old Growler;369;903;2;25;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Nethergate Brewery Co Ltd;The Street;Pentlow;Essex;United Kingdom;52.081, 0.6559;
Urthel Vlaemse Bock;370;431;7;90;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;De Leyerth Brouwerijen;Krommekeerstraat 21;Ruiselede;West-Vlaanderen;Belgium;51.0811, 3.3699;
Watou Tripel;371;296;5;61;7.5;0;0;0;;The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste (7.5% alcohol content);0;2010-07-22 22:00:00+02:00;Belgian-Style Tripel;Belgian and French Ale;Brouwerij St. Bernardus;Trappistenweg 23;Watou;West-Vlaanderen;Belgium;50.8425, 2.6362;http://www.sintbernardus.be
Matilda;372;586;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871, -87.6721;
Old Engine Oil Special Reserve (aged in malt whisky casks);373;638;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Harviestoun Brewery;Hillfoots Business Village;Alva;Scotland;United Kingdom;56.1531, -3.8006;
Imperial Stout;374;935;3;42;7.099999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
EKU 28;375;757;7;90;11;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Kulmbacher Brauerei AG;Lichtenfelser Strae 9;Kulmbach;Bayern;Germany;50.106, 11.4442;
Eisbock;376;757;7;90;9.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Kulmbacher Brauerei AG;Lichtenfelser Strae 9;Kulmbach;Bayern;Germany;50.106, 11.4442;
Doppelbock Dunkel;377;1115;7;92;8.5;0;0;0;;DoppelBock Dunkel has a pleasant full and creamy body, with a cofeeish aroma. Nicely warming with toffeelike malty sweetness, balanced by a hoppy-bitterness in the finish.;0;2010-07-22 22:00:00+02:00;German-Style Doppelbock;German Lager;Schloss Eggenberg;Eggenberg 1;Vorchdorf;;Austria;47.9904, 13.9238;
Special London Ale;378;1385;1;13;6.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Youngs & Company Brewery;26 Osiers Road;London;;England;51.4611, -0.1966;http://www.youngs.co.uk
Oatmeal Stout;379;1385;3;42;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Youngs & Company Brewery;26 Osiers Road;London;;England;51.4611, -0.1966;http://www.youngs.co.uk
Super;380;128;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Birrificia Le Baladin;Piazza V Luglio, 15;Piozzo;;Italy;44.5153, 7.8922;
Wayan;381;128;-1;-1;5.599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Birrificia Le Baladin;Piazza V Luglio, 15;Piozzo;;Italy;44.5153, 7.8922;
GABF 25th Year Beer;382;160;1;5;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Extra Special Bitter;British Ale;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Old Foghorn 2006;383;39;-1;-1;9.399999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Anchor Brewing;1705 Mariposa Street;San Francisco;California;United States;37.7635, -122.401;
Grand Cru 2006;384;21;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;AleSmith Brewing;9368 Cabot Drive;San Diego;California;United States;32.892, -117.144;http://alesmith.com/
Cerveza Negra;385;363;3;42;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Cervecera Jerome;Mendoza;Mendoza;;Argentina;-32.8902, -68.844;
Cerveza Diablo;386;363;8;95;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Cervecera Jerome;Mendoza;Mendoza;;Argentina;-32.8902, -68.844;
Cerveza Roja;387;363;7;84;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Cervecera Jerome;Mendoza;Mendoza;;Argentina;-32.8902, -68.844;
Buffalo Belgian Stout;388;300;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Van Den Bossche;St Lievensplein 16;Sint-Lievens-Esse;Oost-Vlaanderen;Belgium;50.8564, 3.8845;
Rader Ambr̩e;389;238;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brennerei-Distillerie Radermacher;Spitalstrasse 50;Raeren;Lige;Belgium;50.6718, 6.122;
Rader Blonde;390;238;-1;-1;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brennerei-Distillerie Radermacher;Spitalstrasse 50;Raeren;Lige;Belgium;50.6718, 6.122;
Toleration;391;626;-1;-1;4.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hambleton Ales;Melmerby Green Road;Melmerby;North Yorkshire;United Kingdom;54.1744, -1.4844;
English Ale;392;1185;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;St Peter's Brewery;St Peter's Hall;Bungay;Suffolk;United Kingdom;36.7282, -76.5836;
Ripon Jewel Ale;393;425;3;26;5.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Daleside Brewery;Camwal Road;Harrogate;North Yorkshire;United Kingdom;53.9999, -1.501;
XTra;394;200;-1;-1;4.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Thiriez;22 rue Wormhout;Esquelbecq;;France;50.8851, 2.4329;
Bam Bi̬re;395;723;5;74;4.5;0;0;0;;An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast.;0;2010-07-22 22:00:00+02:00;French & Belgian-Style Saison;Belgian and French Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Samichlaus Bier 2005;396;1115;7;90;14;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Schloss Eggenberg;Eggenberg 1;Vorchdorf;;Austria;47.9904, 13.9238;
Barleywine;397;609;3;35;10;0;0;0;;Our American-style Barleywine undergoes a three hour boil to intensify the caramel malts and the enormous Pacific Northwest hop charge. The result is a rich, estery brew with toffee notes and citrus hop flavors layered throughout. Enjoy this brew fresh today or lay it down for aging to see how the flavors of each vintage evolve.;0;2010-07-22 22:00:00+02:00;American-Style Barley Wine Ale;North American Ale;Green Flash Brewing;1430 Vantage Court #104A;Vista;California;United States;33.136, -117.225;http://www.greenflashbrew.com
Old Godfather;398;1177;-1;-1;10.19999981;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Speakeasy Ales and Lagers;1195-A Evans Avenue;San Francisco;California;United States;37.7387, -122.381;
Aventinus Weizen-Eisbock;399;1023;7;90;12;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Private Weissbierbrauerei G. Schneider & Sohn GmbH;Emil-Ott-Strasse 1-5;Kelheim;;Germany;48.9175, 11.8735;http://www.schneider-weisse.de
Aventinus Weizenstarkbier / Doppel Weizen Bock;400;1023;4;55;8.199999809;0;0;0;;Dark-ruby, almost black-colored and streaked with fine top-fermenting yeast, this beer has a compact and persistent head. This is a very intense wheat doppelbock with a complex spicy chocolate-like arome with a hint of banana and raisins. On the palate, you experience a soft touch and on the tongue it is very rich and complex, though fresh with a hint of caramel. It finishes in a rich soft and lightly bitter impression.;0;2010-07-22 22:00:00+02:00;South German-Style Weizenbock;German Ale;Private Weissbierbrauerei G. Schneider & Sohn GmbH;Emil-Ott-Strasse 1-5;Kelheim;;Germany;48.9175, 11.8735;http://www.schneider-weisse.de
New Belgium Trippel Belgian Style Ale;401;905;5;61;8.5;0;0;0;;Our Trippel Belgian Style Ale (pronounced triple) opens with a bold blast of hops that slowly gives way to the fruity esters implied by our Belgian yeast strain. The Three Graces hand-painted on the label are Zeus�۪s daughters Aglaia (splendor), Euphrosyne (mirth) and Thalia (good cheer). In the Belgian tradition of brewing singles, doubles and triples, Trippel is the strongest with the longest fermentation. Remarkably smooth and complex, our bottle-conditioned Trippel is spiced with a trace of coriander.;0;2010-07-22 22:00:00+02:00;Belgian-Style Tripel;Belgian and French Ale;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
Hennepin Farmhouse Ale;402;249;-1;-1;7.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brewery Ommegang;656 County Highway 33;Cooperstown;New York;United States;42.6818, -74.9255;
Abbey Belgian Style Ale;403;905;5;60;7;0;0;0;;Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgium�۪s lineup - but it didn�۪t start out that way. When Jeff and Kim first sampled the beer at the Lyons Folks Fest, reviews were mixed at best. One of founder Jeff�۪s first two Belgian style homebrews (along with Fat Tire), Abbey is a Belgian dubbel (or double) brewed with six different malts and an authentic Belgian yeast strain. Abbey is bottle-conditioned, weighs in at 7.0% alcohol by volume, and pairs well with chocolate (or boldly served by itself) for dessert.;0;2010-07-22 22:00:00+02:00;Belgian-Style Dubbel;Belgian and French Ale;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
India Pale Ale;404;1142;3;26;6.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Bigfoot 2006;405;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Iron Fist Pale Ale;406;1054;3;26;0;0;0;0;;An amber pale ale dry hopped with a blend of American hops.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Revolution Brewing LLC;2323 N Milwaukee Ave;Chicago;Illinois;United States;41.9234, -87.6982;http://revbrew.com/
Demolition;407;586;8;95;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871, -87.6721;
Oro de Calabaza;408;723;5;65;8;0;0;0;;Brewed in the Franco-Belgian tradition of strong golden ales.  Spicy and peppery with a gentle hop bouquet and the beguiling influence of wild yeast.;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Strong Ale;Belgian and French Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
La Roja;409;723;3;33;7.199999809;0;0;0;;An artisan amber ale brewed in the Flanders tradition.  Deep amber with earthy caramel, spice, and sour fruit notes developed through natural barrel aging.  Unfiltered, unpasteurized and blended from barrels ranging in age from two to ten months.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Brother Thelonious;410;919;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;North Coast Brewing Company;455 North Main Street;Fort Bragg;California;United States;39.4466, -123.806;http://www.northcoastbrewing.com/home.htm
Hop Trip Fresh Hop Pale Ale;411;441;3;26;5.5;0;0;0;;This Fresh Hop Pale Ale is all about celebrating the hop harvest in the fall.  Fresh picked hops have to be added to the brew immediately and in abundance.  Roughly 270 pounds of Crystal hops from Doug Weathers' farm outside Salem, Oregon will be added to the 50 barrel batch in addition to some dry kilned whole flower hops.  That adds up to approximately 5.5 pounds of hops per barrel brewed.  Another deliciously interesting beer in our Bond Street Series.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Deschutes Brewery;901 SW Simpson Avenue;Bend;Oregon;United States;44.0474, -121.323;http://www.deschutesbrewery.com/
Organic Belgian Ale;412;130;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bison Brewing;2598 Telegraph Avenue;Berkeley;California;United States;37.8634, -122.259;
Nieuw Ligt Grand Cru 2006;413;1192;-1;-1;12;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stadsbrouwerij De Hemel;Franseplaats 1;Nijmegen;;Netherlands;51.8486, 5.8639;
Hibernation Ale;414;604;1;13;8.100000382;0;0;0;;Great Divide�۪s award-winning Hibernation Ale is Colorado�۪s original strong ale ��� it has been our winter seasonal each year since 1995. Since that time, Hibernation has become the most sought-after winter beer in Colorado. Hibernation�۪s massive flavors are so intense that it requires over three months of aging each year. Each summer, while our brewers are still spending their weekends in flip-flops and shorts, they prepare for July�۪s Hibernation brewing schedule.   We cellar Hibernation until late October, when it reaches the peak of perfection. This lengthy aging process gives Hibernation its revered malty richness, complex hop profile and hearty warming character, which is perfect right out of the bottle or cellared for longer periods of time. Hibernation is a lively treat that really beats the winter chill. This scrumptious, collectible, and imminently cellarable ale is only available for six weeks each year, from November 1 to December 15.  Hibernation Ale is the perfect gift or accompaniment to your winter festivities.;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Great Divide Brewing;2201 Arapahoe Street;Denver;Colorado;United States;39.7539, -104.989;http://www.greatdivide.com/
Wee Heavy Winter Ale;415;623;1;15;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Hale's Ales #3;4301 Leary Way NW;Seattle;Washington;United States;47.6592, -122.366;
